cst_id_di,MRC_ID_DI
90000000089,0000
90000000176,0008
90000000210,0000
90000000212,0005
90000000213,0006
90000000263,0000
90000000322,0000
90000000354,0000
90000000407,0000
90000000408,0000
90000000506,0008
90000000529,0000
90000000604,0000
90000000606,0000
90000000619,0000
90000000648,0008
90000000683,0000
90000000785,0008
90000000790,0005
90000000791,0000
90000000805,0000
90000000810,0000
90000000828,0000
90000000845,0006
90000000893,0000
90000000894,0000
90000000932,0000
90000000938,0000
90000000965,0000
90000000990,0000
90000001087,0000
90000001100,0008
90000001128,0000
90000001152,0000
90000001206,0000
90000001232,0000
90000001291,0000
90000001343,0000
90000001372,0000
90000001386,0000
90000001394,0006
90000001444,0007
90000001448,0000
90000001464,0000
90000001505,0000
90000001536,0000
90000001562,0000
90000001626,0000
90000001651,0008
90000001869,0000
90000001892,0000
90000001895,0007
90000002007,0000
90000002075,0000
90000002076,0000
90000002088,0000
90000002276,0000
90000002403,0000
90000002412,0000
90000002474,0000
90000002479,0000
90000002522,0000
90000002537,0000
90000002607,0008
90000002679,0005
90000002688,0005
90000002697,0000
90000002698,0000
90000002763,0007
90000002812,0009
90000002842,0000
90000002856,0000
90000002864,0000
90000002891,0000
90000002941,0007
90000003006,0000
90000003031,0000
90000003100,0000
90000003168,0000
90000003224,0000
90000003247,0007
90000003264,0000
90000003336,0000
90000003342,0000
90000003397,0000
90000003404,0000
90000003417,0000
90000003420,0006
90000003424,0000
90000003487,0000
90000003548,0000
90000003553,0009
90000003561,0000
90000003577,0000
90000003702,0000
90000003723,0000
90000003774,0000
90000003792,0000
90000003827,0003
90000003847,0000
90000003866,0000
90000003916,0000
90000003982,0007
90000003986,0000
90000004002,0000
90000004017,0000
90000004023,0000
90000004062,0000
90000004148,0000
90000004225,0000
90000004260,0000
90000004336,0006
90000004374,0000
90000004391,0010
90000004421,0006
90000004442,0000
90000004450,0000
90000004496,0000
90000004577,0007
90000004592,0007
90000004634,0000
90000004675,0001
90000004715,0006
90000004812,0000
90000004813,0000
90000004848,0000
90000004883,0000
90000004891,0000
90000004916,0000
90000004930,0000
90000004955,0000
90000005034,0000
90000005037,0000
90000005076,0000
90000005151,0000
90000005247,0006
90000005300,0000
90000005302,0007
90000005338,0000
90000005366,0000
90000005386,0007
90000005432,0000
90000005439,0000
90000005499,0007
90000005539,0000
90000005546,0005
90000005572,0000
90000005583,0000
90000005588,0000
90000005722,0000
90000005862,0000
90000005973,0000
90000005976,0000
90000006053,0007
90000006130,0007
90000006141,0000
90000006211,0000
90000006282,0000
90000006354,0000
90000006356,0000
90000006363,0000
90000006381,0007
90000006391,0000
90000006451,0000
90000006461,0000
90000006480,0000
90000006492,0000
90000006495,0000
90000006511,0000
90000006576,0000
90000006624,0008
90000006685,0000
90000006711,0000
90000006824,0000
90000006959,0000
90000007057,0000
90000007123,0000
90000007162,0000
90000007210,0000
90000007444,0000
90000007505,0000
90000007554,0000
90000007569,0000
90000007639,0000
90000007837,0000
90000007880,0000
90000007899,0000
90000007956,0000
90000007996,0000
90000008175,0000
90000008290,0007
90000008380,0000
